Kobe Bryant
Mar 01 	@ PHX 	L 111 - 118 	23 	2 - 5 	0 - 0 	0 - 0 	5 	1 	6 	5 	2 	2 	1 	6 	4
Trevor Ariza
Mar 31 	@  CHA 	L 84 - 94 	27 	2 - 9 	0 - 1 	2 - 2 	6 	3 	9 	1 	0 	0 	1 	3 	6
Mar 29 	@ ATL 	L 76 - 86 	29 	3 - 11 	1 - 5 	0 - 0 	2 	4 	6 	2 	1 	0 	2 	2 	7
Mar 27 	@ NJN 	W 103 - 95 	36 	4 - 9 	1 - 4 	2 - 2 	0 	3 	3 	0 	3 	0 	1 	3 	11
Mar 26 	@ DET 	W 92 - 77 	29 	4 - 8 	0 - 3 	0 - 0 	1 	0 	1 	3 	2 	0 	2 	2 	8
Mar 24 	@ OKC 	W 107 - 89 	28 	3 - 5 	0 - 1 	0 - 0 	2 	3 	5 	0 	1 	0 	1 	2 	6
Mar 21 	@ CHI 	W 117 - 109 	32 	7 - 9 	2 - 2 	2 - 4 	3 	5 	8 	0 	2 	0 	1 	3 	18
Mar 19 	vs. GSW 	W 114 - 106 	29 	6 - 12 	1 - 3 	0 - 0 	0 	3 	3 	3 	3 	0 	1 	4 	13
Mar 17 	vs. PHI 	L 93 - 94 	36 	6 - 10 	3 - 4 	1 - 1 	0 	8 	8 	1 	2 	0 	1 	2 	16
Mar 15 	vs. DAL 	W 107 - 100 	31 	9 - 13 	3 - 5 	5 - 5 	1 	2 	3 	2 	3 	0 	0 	3 	26
Mar 12 	@ SAS 	W 102 - 95 	26 	4 - 6 	1 - 2 	1 - 1 	0 	3 	3 	2 	4 	0 	0 	0 	10
Mar 11 	@ HOU 	W 102 - 96 	30 	4 - 7 	0 - 2 	0 - 0 	2 	4 	6 	3 	2 	0 	1 	1 	8
Mar 09 	@ POR 	L 94 - 111 	11 	1 - 4 	1 - 3 	0 - 0 	0 	2 	2 	0 	0 	0 	1 	2 	3
Mar 06 	vs. MIN 	W 110 - 90 	24 	3 - 8 	1 - 2 	6 - 8 	0 	1 	1 	2 	1 	0 	0 	3 	13
Mar 03 	vs. MEM 	W 99 - 89 	23 	0 - 6 	0 - 4 	1 - 2 	1 	2 	3 	1 	4 	0 	1 	1 	1
Mar 01 	@ PHX 	L 111 - 118 	29 	3 - 8 	2 - 5 	1 - 2 	0 	5 	5 	4 	4 	0 	1 	5 	9
Shannon Brown
Mar 31 	@  CHA 	L 84 - 94 	6 	1 - 2 	0 - 1 	0 - 0 	0 	1 	1 	0 	0 	0 	1 	2 	2
Mar 27 	@ NJN 	W 103 - 95 	0 	0 - 0 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	0 	0
Mar 26 	@ DET 	W 92 - 77 	2 	0 - 0 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	0 	0
Mar 24 	@ OKC 	W 107 - 89 	7 	2 - 2 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	2 	1 	4
Mar 21 	@ CHI 	W 117 - 109 	1 	0 - 0 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	0 	0
Mar 19 	vs. GSW 	W 114 - 106 	5 	0 - 1 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	1 	0
Mar 17 	vs. PHI 	L 93 - 94 	3 	1 - 2 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	1 	1 	2
Mar 09 	@ POR 	L 94 - 111 	3 	2 - 2 	1 - 1 	0 - 0 	0 	1 	1 	0 	0 	0 	1 	0 	5
Mar 06 	vs. MIN 	W 110 - 90 	8 	1 - 2 	0 - 0 	0 - 0 	0 	2 	2 	1 	0 	1 	0 	0 	2
Andrew Bynum
Jan 31 	@  MEM 	W 115 - 98 	5 	2 - 3 	0 - 0 	3 - 3 	0 	0 	0 	0 	0 	1 	0 	0 	7
Jan 30 	@ MIN 	W 132 - 119 	30 	10 - 15 	0 - 0 	7 - 8 	7 	8 	15 	1 	0 	2 	2 	4 	27
Jan 27 	vs. CHA 	L 110 - 117 	41 	10 - 14 	0 - 0 	4 - 5 	2 	12 	14 	1 	0 	6 	4 	2 	24
Jan 25 	vs. SAS 	W 99 - 85 	24 	4 - 10 	0 - 0 	7 - 8 	4 	7 	11 	1 	1 	4 	2 	2 	15
Jan 22 	vs. WAS 	W 117 - 97 	28 	8 - 12 	0 - 0 	7 - 8 	4 	10 	14 	2 	0 	1 	2 	1 	23
Jan 21 	@ LAC 	W 108 - 97 	36 	17 - 24 	0 - 0 	8 - 11 	8 	7 	15 	0 	0 	3 	2 	2 	42
Jan 19 	vs. CLE 	W 105 - 88 	29 	6 - 10 	0 - 0 	2 - 6 	1 	5 	6 	2 	0 	2 	2 	5 	14
Jan 16 	vs. ORL 	L 103 - 109 	33 	6 - 13 	0 - 0 	2 - 2 	2 	1 	3 	0 	0 	2 	1 	4 	14
Jan 14 	@ SAS 	L 111 - 112 	35 	9 - 15 	0 - 0 	0 - 0 	1 	2 	3 	0 	1 	1 	0 	2 	18
Jan 13 	@ HOU 	W 105 - 100 	27 	5 - 12 	0 - 0 	1 - 2 	0 	1 	1 	3 	0 	0 	1 	5 	11
Jan 11 	vs. MIA 	W 108 - 105 	37 	8 - 13 	0 - 0 	8 - 10 	2 	4 	6 	2 	0 	1 	2 	3 	24
Jan 09 	vs. IND 	W 121 - 119 	31 	8 - 10 	0 - 0 	4 - 7 	0 	5 	5 	1 	0 	1 	2 	3 	20
Jan 07 	@ GSW 	W 114 - 106 	30 	7 - 12 	0 - 0 	4 - 5 	4 	7 	11 	0 	0 	2 	1 	2 	18
Jan 06 	vs. NOH 	L 105 - 116 	35 	2 - 7 	0 - 0 	3 - 4 	2 	6 	8 	1 	0 	1 	2 	4 	7
Jan 04 	vs. POR 	W 100 - 86 	35 	1 - 4 	0 - 0 	2 - 2 	2 	8 	10 	3 	0 	1 	1 	4 	4
Jan 02 	vs. UTA 	W 113 - 100 	25 	3 - 6 	0 - 0 	2 - 6 	0 	2 	2 	0 	0 	3 	1 	4 	8
Jordan Farmar
Mar 31 	@  CHA 	L 84 - 94 	10 	0 - 1 	0 - 0 	0 - 0 	0 	1 	1 	2 	0 	0 	2 	0 	0
Mar 29 	@ ATL 	L 76 - 86 	11 	1 - 2 	1 - 1 	0 - 0 	0 	1 	1 	1 	1 	0 	1 	1 	3
Mar 27 	@ NJN 	W 103 - 95 	17 	1 - 7 	0 - 1 	1 - 2 	0 	2 	2 	3 	0 	0 	0 	1 	3
Mar 26 	@ DET 	W 92 - 77 	15 	2 - 6 	0 - 2 	0 - 0 	1 	1 	2 	1 	0 	0 	0 	2 	4
Mar 24 	@ OKC 	W 107 - 89 	23 	3 - 5 	0 - 2 	0 - 0 	0 	4 	4 	2 	0 	0 	0 	1 	6
Mar 21 	@ CHI 	W 117 - 109 	24 	5 - 10 	3 - 6 	0 - 0 	0 	2 	2 	3 	3 	0 	1 	2 	13
Mar 19 	vs. GSW 	W 114 - 106 	25 	1 - 4 	0 - 1 	2 - 3 	0 	2 	2 	7 	0 	1 	3 	0 	4
Mar 17 	vs. PHI 	L 93 - 94 	12 	1 - 3 	1 - 3 	0 - 0 	0 	0 	0 	1 	0 	0 	1 	3 	3
Mar 15 	vs. DAL 	W 107 - 100 	17 	2 - 4 	1 - 3 	1 - 3 	0 	1 	1 	3 	1 	0 	2 	1 	6
Mar 12 	@ SAS 	W 102 - 95 	16 	2 - 4 	0 - 0 	0 - 0 	0 	1 	1 	1 	1 	1 	4 	2 	4
Mar 11 	@ HOU 	W 102 - 96 	16 	1 - 4 	0 - 1 	0 - 0 	0 	0 	0 	2 	1 	0 	1 	2 	2
Mar 09 	@ POR 	L 94 - 111 	24 	4 - 11 	3 - 5 	1 - 2 	0 	1 	1 	4 	0 	0 	3 	1 	12
Mar 06 	vs. MIN 	W 110 - 90 	20 	1 - 6 	1 - 3 	0 - 0 	0 	3 	3 	3 	1 	1 	0 	2 	3
Mar 03 	vs. MEM 	W 99 - 89 	21 	3 - 7 	0 - 0 	2 - 2 	0 	1 	1 	0 	0 	0 	0 	2 	8
Mar 01 	@ PHX 	L 111 - 118 	13 	0 - 3 	0 - 2 	0 - 0 	0 	1 	1 	3 	0 	0 	2 	1 	0
Derek Fisher
